t,cpu.0,cpu.1,cpu.2,cpu.3,gpu.0,gpu.1,gpu.2,gpu.3,ram.0,ram.1,net.0,net.1,disk.0,disk.1,disk.2,disk.3
0.034,15.2,3.2,66.7,42.5,13.0,45.0,52.0,604.0,52.7,31.9,0.0,0.0,0.0,1003.0,310.0,876.0
1.044,11.4,3.2,23.9,43.5,11.0,45.0,52.0,603.0,52.7,31.9,0.1,0.0,1.1,1003.0,310.0,876.0
2.036,7.2,3.2,15.6,43.5,3.0,45.0,52.0,604.0,52.7,31.9,0.0,0.0,0.4,1005.0,313.0,876.0
3.042,7.8,2.6,16.9,43.5,9.0,45.0,52.0,605.0,52.7,31.9,0.0,0.0,0.0,1005.0,313.0,876.0
4.026,20.6,3.2,56.2,43.5,4.0,45.0,52.0,604.0,52.7,31.9,0.2,0.1,0.1,1005.0,313.0,876.0
5.027,11.6,1.6,23.4,43.5,5.0,45.0,52.0,603.0,52.7,31.9,0.2,0.2,0.3,1005.0,313.0,876.0
6.056,8.0,1.2,24.3,43.5,6.0,46.0,52.0,604.0,52.7,31.9,0.1,0.0,0.1,1021.0,325.0,888.0
7.033,9.0,2.5,20.3,43.5,8.0,45.0,52.0,604.0,52.7,31.9,0.1,0.1,0.2,1021.0,325.0,888.0
8.034,6.7,1.2,15.9,43.5,11.0,45.0,52.0,603.0,52.7,31.9,0.1,0.1,0.2,1021.0,325.0,888.0
9.05,11.6,1.2,30.4,42.0,4.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,1.4,1021.0,325.0,888.0
10.047,7.1,1.2,20.6,42.0,7.0,45.0,52.0,604.0,52.7,31.9,0.2,0.2,0.0,1020.0,327.0,890.0
11.035,8.0,3.2,28.2,42.0,13.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,0.3,1020.0,327.0,890.0
12.036,5.3,1.2,15.6,42.0,10.0,45.0,52.0,604.0,52.7,31.9,0.0,0.0,0.1,1020.0,327.0,890.0
13.048,14.1,3.2,30.4,41.5,5.0,46.0,52.0,604.0,52.7,31.9,0.2,0.3,0.0,1020.0,327.0,890.0
14.042,16.8,3.2,40.3,41.5,3.0,45.0,52.0,603.0,52.7,31.9,0.1,0.2,0.6,1001.0,311.0,881.0
15.035,9.0,3.2,23.9,41.5,3.0,45.0,52.0,604.0,52.7,31.9,0.1,0.2,0.2,1001.0,311.0,881.0
16.035,6.9,3.2,20.0,41.5,6.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,0.1,1001.0,311.0,881.0
17.043,9.4,1.2,23.2,42.0,6.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,0.1,1001.0,311.0,881.0
18.056,5.5,1.2,16.2,42.0,13.0,46.0,52.0,603.0,52.7,31.9,0.0,0.0,0.0,1000.0,311.0,876.0
19.028,7.2,2.5,19.0,42.0,14.0,45.0,52.0,604.0,52.7,31.9,0.1,0.1,0.0,1000.0,311.0,876.0
20.031,9.3,3.2,23.1,42.0,6.0,45.0,52.0,603.0,52.8,31.9,0.2,0.2,0.1,1000.0,311.0,876.0
21.03,5.7,3.2,17.2,42.0,7.0,45.0,52.0,604.0,52.7,31.9,0.0,0.0,0.2,1000.0,311.0,876.0
22.053,8.8,3.2,22.9,42.0,6.0,46.0,52.0,605.0,52.7,31.9,0.0,0.0,0.0,1003.0,310.0,876.0
23.024,9.9,1.2,24.6,42.0,6.0,45.0,52.0,604.0,52.7,31.9,0.0,0.1,0.1,1003.0,310.0,876.0
24.032,8.6,3.2,30.1,42.0,9.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,0.0,1003.0,310.0,876.0
25.028,10.5,3.2,23.4,42.0,10.0,45.0,52.0,603.0,52.7,31.9,0.0,0.1,0.1,1003.0,310.0,876.0
26.026,9.3,2.6,20.0,42.0,13.0,46.0,52.0,604.0,52.7,31.9,0.3,0.2,0.1,1002.0,311.0,876.0
27.033,8.8,1.9,29.7,42.0,8.0,45.0,52.0,604.0,52.7,31.9,0.1,0.1,0.3,1002.0,311.0,876.0
28.049,7.1,1.2,16.9,42.0,6.0,45.0,52.0,604.0,52.7,31.9,0.2,0.1,0.1,1002.0,311.0,876.0
29.057,9.9,2.5,23.4,42.0,2.0,45.0,52.0,604.0,52.7,31.9,0.0,0.0,1.0,1002.0,311.0,876.0
30.029,8.1,2.9,21.7,42.0,2.0,45.0,52.0,603.0,52.7,31.9,0.0,0.0,0.1,1002.0,311.0,874.0
31.038,8.9,2.5,20.0,42.0,2.0,45.0,52.0,602.0,52.7,31.9,0.0,0.0,0.2,1002.0,311.0,874.0
32.045,8.5,1.2,25.0,42.0,3.0,46.0,52.0,602.0,52.7,31.9,0.0,0.0,0.1,1002.0,311.0,874.0
33.036,9.3,3.2,17.9,41.5,3.0,45.0,52.0,601.0,52.7,31.9,0.0,0.0,0.0,1002.0,311.0,874.0
34.024,11.5,3.2,23.9,41.5,2.0,45.0,52.0,600.0,52.7,31.9,0.0,0.0,0.1,1004.0,311.0,873.0
