t_s;cpu.degc;disk.extraction_moy;disk.cpu_noctua;disk.case_group;fan.top_out;fan.rear_out
0.01;41.3;954.0;260.0;831.0;638.0;1270.0
1.02;41.3;954.0;260.0;831.0;638.0;1270.0
2.01;41.3;954.0;260.0;831.0;638.0;1270.0
3.21;41.3;954.0;260.0;831.0;638.0;1270.0
4.01;40.8;950.0;255.0;831.0;636.0;1264.0
5.01;40.8;950.0;255.0;831.0;636.0;1264.0
6.01;40.8;950.0;255.0;831.0;636.0;1264.0
7.02;40.8;950.0;255.0;831.0;636.0;1264.0
8.01;40.8;951.0;249.0;831.0;635.0;1267.0
9.01;40.8;951.0;249.0;831.0;635.0;1267.0
10.01;40.8;951.0;249.0;831.0;635.0;1267.0
11.01;40.0;951.0;249.0;831.0;635.0;1267.0
12.01;40.0;959.0;261.0;837.0;646.0;1272.0
13.01;40.0;959.0;261.0;837.0;646.0;1272.0
14.01;40.0;959.0;261.0;837.0;646.0;1272.0
15.01;39.3;959.0;261.0;837.0;646.0;1272.0
16.23;39.3;955.0;261.0;835.0;640.0;1269.0
17.01;39.3;955.0;261.0;835.0;640.0;1269.0
18.01;39.3;955.0;261.0;835.0;640.0;1269.0
19.01;40.3;955.0;261.0;835.0;640.0;1269.0
20.01;40.3;955.0;259.0;835.0;644.0;1267.0
21.27;40.3;955.0;259.0;835.0;644.0;1267.0
22.01;40.3;955.0;259.0;835.0;644.0;1267.0
23.01;41.0;955.0;259.0;835.0;644.0;1267.0
24.01;41.0;953.0;260.0;831.0;640.0;1265.0
25.01;41.0;953.0;260.0;831.0;640.0;1265.0
26.02;41.0;953.0;260.0;831.0;640.0;1265.0
27.01;40.5;953.0;260.0;831.0;640.0;1265.0
28.01;40.5;954.0;259.0;830.0;641.0;1268.0
29.01;40.5;954.0;259.0;830.0;641.0;1268.0
30.01;40.5;954.0;259.0;830.0;641.0;1268.0
31.05;40.5;954.0;259.0;830.0;641.0;1268.0
32.01;40.8;954.0;259.0;830.0;641.0;1268.0
33.01;40.8;952.0;257.0;832.0;638.0;1266.0
34.01;40.8;952.0;257.0;832.0;638.0;1266.0
35.01;40.8;952.0;257.0;832.0;638.0;1266.0
36.01;39.3;952.0;257.0;832.0;638.0;1266.0
37.01;39.3;956.0;258.0;832.0;642.0;1269.0
38.01;39.3;956.0;258.0;832.0;642.0;1269.0
39.01;39.3;956.0;258.0;832.0;642.0;1269.0
40.01;40.5;956.0;258.0;832.0;642.0;1269.0
41.01;40.5;954.0;259.0;833.0;638.0;1269.0
42.01;40.5;954.0;259.0;833.0;638.0;1269.0
43.16;40.5;954.0;259.0;833.0;638.0;1269.0
44.01;40.8;954.0;259.0;833.0;638.0;1269.0
45.01;40.8;951.0;257.0;830.0;637.0;1266.0
46.01;40.8;951.0;257.0;830.0;637.0;1266.0
47.01;40.8;951.0;257.0;830.0;637.0;1266.0
48.02;40.8;951.0;257.0;830.0;637.0;1266.0
49.01;41.0;962.0;267.0;840.0;650.0;1274.0
50.01;41.0;962.0;267.0;840.0;650.0;1274.0
51.01;41.0;962.0;267.0;840.0;650.0;1274.0
52.01;41.0;962.0;267.0;840.0;650.0;1274.0
53.01;39.5;954.0;260.0;836.0;640.0;1269.0
54.01;39.5;954.0;260.0;836.0;640.0;1269.0
55.02;39.5;954.0;260.0;836.0;640.0;1269.0
56.01;40.8;954.0;260.0;836.0;640.0;1269.0
57.01;40.8;961.0;261.0;835.0;651.0;1272.0
58.01;40.8;961.0;261.0;835.0;651.0;1272.0
59.01;40.8;961.0;261.0;835.0;651.0;1272.0
60.01;40.8;961.0;261.0;835.0;651.0;1272.0
61.07;42.0;958.0;267.0;840.0;650.0;1267.0
62.01;42.0;958.0;267.0;840.0;650.0;1267.0
63.01;42.0;958.0;267.0;840.0;650.0;1267.0
64.01;42.0;958.0;267.0;840.0;650.0;1267.0
65.01;42.0;981.0;286.0;857.0;680.0;1282.0
66.01;42.0;981.0;286.0;857.0;680.0;1282.0
67.01;42.0;981.0;286.0;857.0;680.0;1282.0
68.01;39.8;981.0;286.0;857.0;680.0;1282.0
69.01;39.8;953.0;259.0;835.0;638.0;1267.0
70.01;39.8;953.0;259.0;835.0;638.0;1267.0
71.01;39.8;953.0;259.0;835.0;638.0;1267.0
72.01;39.0;953.0;259.0;835.0;638.0;1267.0
73.01;39.0;958.0;261.0;834.0;646.0;1270.0
74.01;39.0;958.0;261.0;834.0;646.0;1270.0
75.01;39.0;958.0;261.0;834.0;646.0;1270.0
76.01;39.5;958.0;261.0;834.0;646.0;1270.0
77.01;39.5;954.0;259.0;831.0;641.0;1267.0
78.12;39.5;954.0;259.0;831.0;641.0;1267.0
